section_1,section_2
319,Code_Of_Criminal_Procedure
193,Army__
201,The_Indian_Income_Tax__
3,The_Indian_Evidence__
227,Court-fees__
24,Right_To_Information__
11,The_Land_Acquisition
,
,
168,Vehicles
228,Code_Of_Criminal
13,Limitation__
2,The_Consumer_Protection
18,Information_Technology
16,The_Specific_Relief
81,SC_ST__
82,Insurance__
19,Urban_Land__
181,Industrial_Employee__
281,Competition__
19,The_Prevention_of_Corruption
287,Motor_Vehicle__
17,The_Press_Council
1,The_Election_Laws
4,The_Explosive_Substances
2,Central_Sales_Tax__
291,Worker's_Compensation__
45,Indian_Contr___
255,Foreign_Exchange_Regulation__
29,State_Financial_Cooperations___
12,Madhya_Pradesh_Reorganisation__
11,Tranfer_of_Property__
33,Indian_Medical_Council__
34,Arbitration__
50,The_Evidence__
,
138,Indian__Negotiable_Instruments__
25,Industrial_Dispute__
111,Central_Exercise
28,Custom
6,Specific_Relief
244,Advocate
333,Facory
456,Fatal_Accidents__
95,Delhi_Rent__
45,Prison__
9,Society_Registration__
86,Environment_Protectioin__
22,Paymet_Of_Gratuity__
27,Arms__
72,Higher_Purchase__
48,Electricity_Supply_
51,Finance_Commision__
88,Prevention_of_Corruption__
85,The_Narcotic_Drugs_and_Psychotropic_Substances_
56,Company
379,Special_Court__
201,Repealing__
